temperature_c,humidity_pct,co2_ppm,motion_score,light_lux,air_quality_idx,sound_db,occupancy_est,power_kw,vibration_mg,activity_label,client_id
0.362099978475811,0.281682796969942,0.184232252968596,0.0994524825119297,0.207430325524605,0.790454371700547,0.123349054527369,0.041315840382355,0.0477352322588844,0.0158672930890221,1,0
0.755074900926921,0.600014341133612,0.172445532605283,0.598255619885288,0.484855388174942,0.4405642849986,0.404173013711312,0.366874747993558,0.263220023874424,0.436689349322022,7,1
0.664613654639165,0.370413153458497,0.210239356786427,0.312180628006965,0.400295246596965,0.618749418915593,0.22675984932533,0.186620182042224,0.19130846866769,0.201666753305424,5,3
0.53527943285766,0.359264819458209,0.744024745393068,0.291149180382921,0.330958409694547,0.707320065221834,0.32775504328178,0.459006955237245,0.220321997661282,0.0943115453190022,4,9
0.535010637392991,0.464936967033189,0.42658379320035,0.310788158490097,0.327740545542239,0.689836886977946,0.283503380955872,0.282427287292319,0.149828718198706,0.178673968307745,5,3
0.468236529337462,0.525851679101106,0.380614646613677,0.768355567763521,0.555922275939658,0.541184960481373,0.425356490265753,0.284690764062896,0.264995951757083,0.280313561077277,7,1
0.480902732517613,0.263313195551091,0.106719804476475,0.21830903480002,0.200255125998393,0.79567716520267,0.218909920533133,0.0953989512153701,0.0372542791965133,0.0781918147747949,8,7
0.482521553772698,0.460070752905929,0.57248107188398,0.217298170369786,0.335134475092479,0.613354853064737,0.33789874507983,0.533198338169367,0.31304227046318,0.148691009248456,6,0
0.814621808744313,0.623858492622945,0.288833765066227,0.419191068607608,0.419679970871567,0.638429133718927,0.374874309062322,0.266157961226871,0.207997252195791,0.308049145747274,7,8
0.667332167942912,0.2193914460907,0.524933375467699,0.520883224122568,0.775454442276206,0.446357115280215,0.515170386051665,0.195108724905013,0.562636662596729,0.438311718447826,9,6
0.581814419947122,0.2618380652959,0.151487473934654,0.0688312089266365,0.210108669722,0.939964814457675,0.234843796681594,0.0520168204510897,0.0519385520965211,0.00987386703969052,1,9
0.434674980635221,0.59076357163416,0.433147447052354,0.281252558714442,0.389542664856809,0.709828436963993,0.201229142872304,0.471827347743645,0.271436645286997,0.0765774926656252,4,2
