client_id,battery_pct,signal_strength_dbm,cpu_load_pct,uptime_hrs,packet_loss_pct
0,99.8294446842543,-51.7362532949008,13.9907383338447,194.512068440761,2.38271383082364
1,98.1929743827462,-62.2885463985377,17.5737204109443,731.535501156464,1.49401538709947
2,99.1311296925789,-55.1223714793846,18.3691357051192,180.781105360321,1.60026367020216
3,88.2125214968423,-52.1862766790323,37.2491540885482,609.148164507499,1.77155818024247
4,92.7019147383155,-50.3074830605396,53.8647396662224,570.848676902459,2.30545166679236
5,80.4870964277716,-59.3308541746241,32.0443624116131,592.660295618187,0.285309504127378
6,90.504485287665,-49.410511714106,46.0495429711465,774.480040525501,1.42011298226078
7,70.9711945364696,-46.4337126373419,14.0208881219117,284.394606796461,1.89321352130587
8,76.1429904608542,-41.8927055747797,14.653775217801,524.844550784096,2.44160574896592
9,86.1558508944799,-63.8363470087521,39.7711835083603,795.086984815883,2.70405881033638
